Stocks,ID,Date,Tweet,Negative,Neutral,Positive,Overall
Apple,1.64878594909737E+018,2023-04-19,concentration alert handful tech stocks responsible large portion stock market,0,0.64,0.36,0.5423
Apple,1.64878386360106E+018,2023-04-19,apple senior maestri sold additional stock end last week,0,1,0,0
Apple,1.6487833882354E+018,2023-04-19,also refuse old hen cook celery bay leaves pepper salt splash apple cider vinegar serve meat rice white sauce bottle stock enjoy leftover week,0.08,0.803,0.117,0.25
Apple,1.64878320099759E+018,2023-04-19,earnings met stock dropping dropping company quarter came much,0,1,0,0
Apple,1.64878292414854E+018,2023-04-19,concentration alert handful tech stocks responsible large portion stock market,0,0.64,0.36,0.5423
Apple,1.64878127059032E+018,2023-04-19,flat digest earnings morgan,0,1,0,0
Apple,1.64878116743139E+018,2023-04-19,two days stock,0,1,0,0
Apple,1.64878039815812E+018,2023-04-19,hi thanks tweet sorry know could find lattice apple pie visit find would stock share store ask order thanks,0.053,0.617,0.329,0.7717
Apple,1.64877988633579E+018,2023-04-19,top today azo key low,0.304,0.435,0.261,-0.0772
Apple,1.64877982645371E+018,2023-04-19,top today,0,0.357,0.643,0.2023
Microsoft,1.64878594909737E+018,2023-04-19,concentration alert handful tech stocks responsible large portion stock market,0,0.64,0.36,0.5423
Microsoft,1.64878292414854E+018,2023-04-19,concentration alert handful tech stocks responsible large portion stock market,0,0.64,0.36,0.5423
Microsoft,1.64878091051753E+018,2023-04-19,big news huge number corporate longer include twitter marketing strategy stock ago market value dependent musk persona taken hit twitter good move,0,0.669,0.331,0.7845
Microsoft,1.6487776035814E+018,2023-04-19,apple stock preserve wealth entire us populous,0,0.652,0.348,0.4939
Microsoft,1.64877589681446E+018,2023-04-19,reason announce game early inflate stock price potential value say bought money possible one way announce fast forward got bought billion,0,0.893,0.107,0.34
Microsoft,1.64877421878224E+018,2023-04-19,rise slightly market rally attempt advanced wild week first reportedly,0,0.818,0.182,0.25
Microsoft,1.6487739784025E+018,2023-04-19,big rose week even despite,0,1,0,0
Microsoft,1.64877309745629E+018,2023-04-19,yeah gon na waiting excel say implore financial use responsible way build inappropriate misleading result oh say financial,0.112,0.579,0.31,0.5859
Microsoft,1.64877132291321E+018,2023-04-19,new company challenge ai stock buy,0,0.794,0.206,0.0772
Microsoft,1.6487689225465E+018,2023-04-19,corporation c top stock low close,0.304,0.435,0.261,-0.0772
Google,1.64878626295294E+018,2023-04-19,,0,0,0,0
Google,1.64878616190777E+018,2023-04-19,stays let continue album stock us promotion social media sabotage,0.274,0.726,0,-0.5267
Google,1.6487854314573E+018,2023-04-19,since negative p recent reading varied course substantial positive forward stock produced table go,0.194,0.524,0.283,0.1779
Google,1.64878503976788E+018,2023-04-19,consider product stock price rather,0,1,0,0
Google,1.64878472574027E+018,2023-04-19,stock daily chart top zone sell signal success rate price,0,0.593,0.407,0.6705
Google,1.64878447953459E+018,2023-04-19,stock market tech technology epic monster,0,1,0,0
Google,1.64878381909555E+018,2023-04-19,since negative produced p recent forward year stock especially value stocks substantial table go,0.2,0.542,0.258,0.0146
Google,1.64878324775585E+018,2023-04-19,since negative produced p recent forward year stock especially value stocks substantial table,0.212,0.516,0.272,0.0146
Google,1.64878258553819E+018,2023-04-19,trial pack join time pass trading class every day new class network marketing quality education welcome,0,0.729,0.271,0.6369
Google,1.6487823005562E+018,2023-04-19,news today rising bond insider,0,1,0,0
Google,1.6487823005862E+018,2023-04-19,news today rising bond insider1,0,1,0,0
